"Parameter","Estimate"
"Mu.pMat[3]","0.33 [0.14, 0.55]"
"Mu.pMat[4]","0.51 [0.33, 0.69]"
"Mu.pMat[5]","0.49 [0.29, 0.67]"
"sigmaY.pMat","0.28 [0.03, 0.85]"
"pOvl","0.9 [0.86, 0.93]"
"pPrg","0.65 [0.52, 0.77]"
"mN_YOY","0.27 [0.23, 0.32]"
"mN_SA[1]","0.13 [0.07, 0.22]"
"mN_SA[2]","0.14 [0.07, 0.2]"
"mN_SA[3]","0.1 [0.04, 0.17]"
"mN_SA[4]","0.08 [0.03, 0.15]"
"mN_SA[5]","0.06 [0.02, 0.12]"
"mN_MA","0.06 [0.05, 0.07]"
"mH_YOY[1]","0 [0, 0.01]"
"mH_SA[1, 1]","0.02 [0.02, 0.03]"
"mH_SA[2, 1]","0.02 [0.02, 0.03]"
"mH_SA[3, 1]","0.02 [0.02, 0.03]"
"mH_SA[4, 1]","0.02 [0.02, 0.03]"
"mH_SA[5, 1]","0.02 [0.02, 0.03]"
"mH_MA[1]","0.02 [0.02, 0.03]"
"S_YOY[1]","0.76 [0.72, 0.79]"
"S_SA[1, 1]","0.8 [0.77, 0.84]"
"S_SA[2, 1]","0.82 [0.79, 0.85]"
"S_SA[3, 1]","0.84 [0.81, 0.87]"
"S_SA[4, 1]","0.86 [0.84, 0.89]"
"S_SA[5, 1]","0.88 [0.86, 0.9]"
"S_MA[1]","0.93 [0.91, 0.94]"
"S_pup.ideal","0.79 [0.7, 0.85]"
"env.ideal","84.73 [68.82, 102.59]"
"estN.2002","2994.97 [2488.61, 3536.77]"
"SAD[1]","0.11 [0.09, 0.13]"
"SAD[2]","0.09 [0.07, 0.1]"
"SAD[3]","0.07 [0.06, 0.08]"
"SAD[4]","0.04 [0.03, 0.05]"
"SAD[5]","0.02 [0.01, 0.02]"
"SAD[6]","0.01 [0, 0.01]"
"SAD[7]","0.05 [0.04, 0.06]"
"SAD[8]","0.62 [0.56, 0.68]"
